feature,importance,std
family_Eggerthellales_sum,0.0009511528008338412,0.012367318609804966
order_Tissierellia_sum,0.0009481640830696642,0.011925607644058872
abundance_rel_median_2,0.0009464958042488502,0.011659424652226249
abundance_zscore_156,0.0009464312203039343,0.011627815482945097
order_Alphaproteobacteria_ratio,0.0009455557898579229,0.010585882643990541
species_Faecalibacterium_mean,0.0009444403860677636,0.012217618334288124
species_Tyzzerella_median,0.0009438487311454183,0.012257449299157912
family_Erysipelotrichales_std,0.0009438231876446638,0.011213947125898505
species_Facklamia_mean,0.0009430494563823146,0.012467948986335287
species_Prevotella_sum,0.0009406114421847746,0.011579511003835955
species_Phascolarctobacterium_ratio,0.0009395801232337523,0.012442750158965296
species_Odoribacter_ratio,0.0009382864464876962,0.011043812089045087
genus_Eggerthellaceae_mean,0.0009356101349290579,0.011421542632523388
abundance_110,0.0009353703435318666,0.013673974526563245
abundance_13,0.0009344240927736808,0.011573364401523172
top_1_abundance_species,0.000933916047477891,0.01047779881098071
abundance_54,0.0009297910055335742,0.011699859376196695
species_Intestinibacter_mean,0.0009294070391971309,0.01235708967630458
order_Alphaproteobacteria_sum,0.000929255405877512,0.011744709380896959
abundance_156,0.0009289087101205956,0.012361160952693783
abundance_109,0.0009280907220291011,0.012344318458513649
species_Casaltella_median,0.0009274591076431324,0.012649594263647871
species_Finegoldia_ratio,0.0009261418576945613,0.011786289712333557
abundance_80,0.000925494128016848,0.012017433631201875
diversity_complexity_class,0.0009253364256487384,0.011397689523322305
genus_Bifidobacteriaceae_mean,0.0009220804841747939,0.011676571537515487
abundance_rel_median_96,0.0009204581286928505,0.011610073205575108
abundance_113,0.0009202434995582064,0.011344944550378093
abundance_rel_median_86,0.0009185522568804681,0.011336723477245542
simpson_ratio_class,0.0009183160093056719,0.012039008176162871
genus_Campylobacteraceae_std,0.0009127029313894545,0.010968324532301489
order_Erysipelotrichia_ratio,0.0009117228051712984,0.010704730410007674
genus_Akkermansiaceae_median,0.0009100027708670683,0.010165452228951558
abundance_rel_median_148,0.0009088971210111889,0.012852974887000651
class_Fusobacteria_ratio,0.0009074035512825256,0.01116671388949857
order_Erysipelotrichia_mean,0.0009056675626712677,0.011692299251465664
top_1_abundance_kingdom,0.0009052488145532638,0.011946799320167597
species_Roseburia_sum,0.0009046049315892975,0.012337997616795781
genus_Erysipelotrichaceae_sum,0.0009034458975893329,0.010208076142387874
genus_Bacteroidaceae_ratio,0.0009029914804967873,0.00976077654108134
abundance_zscore_148,0.0009024999867706985,0.012186271043490477
family_Rhodospirillales_ratio,0.0009017075094509868,0.01111203636837731
abundance_rel_median_24,0.0009011627565492222,0.011888022068573376
abundance_115,0.000897105684560016,0.012967833551088829
order_Gammaproteobacteria_std,0.0008967008460732963,0.009978891603917229
abundance_zscore_78,0.0008951215340163667,0.011626826780855274
species_Ezakiella_median,0.0008930617665496317,0.011278937946728804
abundance_zscore_74,0.0008923927006011968,0.01087947735781115
genus_Streptococcaceae_mean,0.0008910035189837459,0.011887531155079933
family_Rhodospirillales_median,0.0008892441601642523,0.011133106986498947
family_Corynebacteriales_ratio,0.0008881091503154135,0.010872960327248814
genus_Peptostreptococcaceae_mean,0.000882825033031601,0.00995977297084166
family_Campylobacterales_std,0.0008822039001995709,0.011653703399293506
genus_Desulfovibrionaceae_std,0.000880889641116892,0.010409069654357282
abundance_2,0.0008796854347894787,0.011172141173803931
top_1_abundance_genus,0.0008763001942503788,0.01064899786330717
abundance_14,0.0008762857237665816,0.011181724570455359
abundance_zscore_155,0.0008740898910247985,0.011394922595805771
family_Veillonellales_std,0.0008726938351295331,0.010887412917520581
abundance_11,0.0008718473192891893,0.012357557837102299
order_Erysipelotrichia_sum,0.0008718257809791057,0.009992151575962416
species_Oscillibacter_sum,0.0008714493568246516,0.011339244059133228
genus_Lachnospiraceae_ratio,0.0008656448154514395,0.010588230468501134
dominance_class,0.0008647200426584531,0.011106144199279515
species_Parabacteroides_median,0.0008636993915563968,0.010754816917252304
species_Shuttleworthia_ratio,0.0008630035905016959,0.012120782172188463
species_Eggerthella_ratio,0.0008621855299029136,0.01294241721120687
species_Akkermansia_median,0.0008619112414690148,0.010666635369009123
abundance_rel_median_54,0.0008612005925112073,0.01099625290663792
family_Rhodospirillales_sum,0.0008599003919715092,0.011053358867627554
abundance_rel_median_15,0.0008591830889180058,0.010202822560017989
