feature,importance
sk__Eukaryota;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales,0.0014364100649500917
sk__Eukaryota;k__;p__;c__Spirotrichea,0.0014305153649640042
sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__Pseudohongiella,0.0014260956058166714
sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Chaetocerotales,0.001422202196385581
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae,0.001413563894415115
sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium,0.0014129331940433128
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Formosa,0.001411144483074849
sk__Eukaryota;k__Viridiplantae;p__Chlorophyta;c__;o__Pyramimonadales,0.0014095587729724957
sk__Eukaryota;k__;p__;c__;o__;f__;g__Chrysoculter,0.0014087940780709819
sk__Eukaryota;k__;p__;c__Polycystinea;o__Nassellaria,0.0014065513999070088
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium,0.00140528307864606
sk__Eukaryota;k__Viridiplantae;p__Chlorophyta;c__Mamiellophyceae;o__Mamiellales,0.0014042338888600463
ratio_sk__Eukaryota;k__;p__;c__;o__Kinetoplastida;f__Bodonidae;g__Neobodo_sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__gamma_proteobacterium_HIMB30,0.001401290591141208
sk__Eukaryota;k__;p__;c__Litostomatea;o__Cyclotrichida;f__Mesodiniidae,0.0013948887734395378
sk__Eukaryota;k__;p__;c__Cryptophyta,0.0013907275111971146
sk__Bacteria;k__;p__Kiritimatiellaeota;c__Kiritimatiellae,0.001388335404013815
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gymnodiniales;f__Gymnodiniaceae,0.0013797909737355398
sk__Bacteria;k__;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae,0.001375259445027822
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Peridiniales;f__Peridiniaceae;g__Peridinium,0.0013728420024828835
sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Maxillopoda;o__Poecilostomatoida,0.0013711481428241082
sk__Eukaryota;k__;p__;c__Cryptophyta;o__Cryptomonadales;f__Hemiselmidaceae,0.001364119491928107
sk__Eukaryota;k__;p__;c__Katablepharidophyta,0.001363366927328521
sk__Eukaryota;k__;p__Bacillariophyta;c__Coscinodiscophyceae;o__Chaetocerotales;f__Chaetocerotaceae;g__Chaetoceros,0.0013617522119758784
sk__Eukaryota;k__;p__;c__;o__;f__Apusomonadidae,0.0013560897161612742
sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Branchiopoda;o__Diplostraca,0.0013556579000681532
sk__Bacteria;k__;p__Cyanobacteria,0.001351240421483762
sk__Archaea;k__;p__Crenarchaeota,0.0013486821905672485
sk__Eukaryota;k__;p__;c__Cryptophyta;o__Pyrenomonadales,0.0013474004651978491
sk__Bacteria;k__;p__Proteobacteria;c__Epsilonproteobacteria;o__;f__;g__Sulfurovum,0.0013459294805204763
sk__Bacteria;k__;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__Balneola,0.00134497781781933
sk__Eukaryota;k__Metazoa;p__Annelida;c__Polychaeta,0.0013395808660112436
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola,0.0013353704597957076
sk__Eukaryota;k__;p__;c__Dinophyceae;o__Gonyaulacales;f__Gonyaulacaceae;g__Alexandrium,0.0013331422495612424
sk__Eukaryota;k__Viridiplantae;p__Chlorophyta,0.0013304899635081411
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Leptolyngbyaceae,0.0013271361306024226
