OTU_ID	b'ERR328037'
b'1146'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Deltaproteobacteria';b'o__Desulfovibrionales';b'f__Desulfovibrionaceae';b'g__Desulfovibrio';b's__Desulfovibrio_sp._UNSW3caefatS'	3.0
b'234451'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Epsilonproteobacteria';b'o__Campylobacterales';b'f__Campylobacteraceae';b'g__Campylobacter';b''	3.0
b'48267'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Epsilonproteobacteria';b'o__Campylobacterales';b'f__Helicobacteraceae';b'';b''	59.0
b'174274'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Epsilonproteobacteria';b'o__Campylobacterales';b'f__Helicobacteraceae';b'g__Helicobacter';b''	4.0
b'61324'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Gammaproteobacteria';b'';b'';b'';b''	5.0
b'102102'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Gammaproteobacteria';b'o__Aeromonadales';b'';b'';b''	4.0
b'146988'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Gammaproteobacteria';b'o__Aeromonadales';b'f__Succinivibrionaceae';b'';b''	3.0
b'214500'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Gammaproteobacteria';b'o__Aeromonadales';b'f__Succinivibrionaceae';b'g__Succinivibrio';b''	286.0
b'16188'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Gammaproteobacteria';b'o__Enterobacterales';b'';b'';b''	2.0
b'258109'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Gammaproteobacteria';b'o__Enterobacterales';b'f__Enterobacteriaceae';b'';b''	2.0
b'262897'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Gammaproteobacteria';b'o__Pseudomonadales';b'';b'';b''	2.0
b'32926'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Gammaproteobacteria';b'o__Pseudomonadales';b'f__Moraxellaceae';b'';b''	4.0
b'55775'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Gammaproteobacteria';b'o__Pseudomonadales';b'f__Moraxellaceae';b'g__Acinetobacter';b''	121.0
b'173838'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Gammaproteobacteria';b'o__Pseudomonadales';b'f__Pseudomonadaceae';b'';b''	1.0
b'63392'|b'sk__Bacteria';b'k__';b'p__Proteobacteria';b'c__Gammaproteobacteria';b'o__Xanthomonadales';b'f__Xanthomonadaceae';b'';b''	1.0
b'173322'|b'sk__Bacteria';b'k__';b'p__Spirochaetes';b'c__Spirochaetia';b'o__Spirochaetales';b'';b'';b''	3.0
b'34140'|b'sk__Bacteria';b'k__';b'p__Spirochaetes';b'c__Spirochaetia';b'o__Spirochaetales';b'f__Spirochaetaceae';b'';b''	346.0
b'158173'|b'sk__Bacteria';b'k__';b'p__Spirochaetes';b'c__Spirochaetia';b'o__Spirochaetales';b'f__Spirochaetaceae';b'g__Treponema';b''	291.0
b'8406'|b'sk__Bacteria';b'k__';b'p__Tenericutes';b'c__Mollicutes';b'';b'';b'';b''	103.0
b'223339'|b'sk__Bacteria';b'k__';b'p__Tenericutes';b'c__Mollicutes';b'o__Anaeroplasmatales';b'f__Anaeroplasmataceae';b'g__Asteroleplasma';b''	1.0
b'233398'|b'sk__Mitochondria';b'';b'';b'';b'';b'';b'';b''	1.0
